Req,R1,R2
100.0,100,
220.0,220,
330.0,330,
470.0,470,
680.0,680,
1000.0,1000,
2200.0,2200,
3300.0,3300,
4700.0,4700,
10000.0,10000,
68.75,100,220.0
76.744,100,330.0
82.456,100,470.0
87.179,100,680.0
90.909,100,1000.0
95.652,100,2200.0
97.059,100,3300.0
97.917,100,4700.0
99.01,100,10000.0
132.0,220,330.0
149.855,220,470.0
166.222,220,680.0
180.328,220,1000.0
200.0,220,2200.0
206.25,220,3300.0
210.163,220,4700.0
215.264,220,10000.0
193.875,330,470.0
222.178,330,680.0
248.12,330,1000.0
286.957,330,2200.0
300.0,330,3300.0
308.35,330,4700.0
319.458,330,10000.0
277.913,470,680.0
319.728,470,1000.0
387.266,470,2200.0
411.406,470,3300.0
427.273,470,4700.0
448.902,470,10000.0
404.762,680,1000.0
519.444,680,2200.0
563.819,680,3300.0
594.052,680,4700.0
636.704,680,10000.0
687.5,1000,2200.0
767.442,1000,3300.0
824.561,1000,4700.0
909.091,1000,10000.0
1320.0,2200,3300.0
1498.551,2200,4700.0
1803.279,2200,10000.0
1938.75,3300,4700.0
2481.203,3300,10000.0
3197.279,4700,10000.0
